date,total_cases,g_values
2020-10-30,10842492,0.9239962860314291
2020-10-31,10948754,0.9800514494269398
2020-11-01,11060858,1.0238973311483663
2020-11-02,11163775,0.9304612716301033
2020-11-03,11314544,1.3505198734299106
2020-11-04,11412527,0.8659915945353166
2020-11-05,11527091,1.0038442844428759
2020-11-06,11657312,1.12969525442282
2020-11-07,11796021,1.1898883722079325
2020-11-08,11944349,1.2574409625076117
2020-11-09,12085280,1.1798968700596406
2020-11-10,12208418,1.0189089537023552
2020-11-11,12349973,1.159486839326766
2020-11-12,12514032,1.328415859694592
2020-11-13,12686830,1.3808339310623468
2020-11-14,12867622,1.4250368295310964
2020-11-15,13062133,1.5116312866511
2020-11-16,13239254,1.355988336667526
2020-11-17,13389588,1.1355171522504215
2020-11-18,13555544,1.2394406758445442
2020-11-19,13742508,1.3792437986996318
2020-11-20,13932195,1.380293902685012
2020-11-21,14139322,1.4866788757981064
2020-11-22,14351441,1.50020630409294
2020-11-23,14539619,1.3112132781648895
2020-11-24,14702722,1.1217831773996279
2020-11-25,14883920,1.232411250107293
2020-11-26,15079722,1.31552709232514
2020-11-27,15294341,1.4232291550202318
2020-11-28,15460911,1.0890956334764603
2020-11-29,15646051,1.1974714814670364
2020-11-30,15806620,1.026258958250871
2020-12-01,15962362,0.9852960341932684
2020-12-02,16136619,1.0916742772780117
2020-12-03,16351976,1.3345856402756984
2020-12-04,16587641,1.44120196849604
2020-12-05,16829514,1.4581518854911317
2020-12-06,17076787,1.4692818818178588
2020-12-07,17301678,1.3169397732723374
2020-12-08,17495020,1.1174754263719393
2020-12-09,17703256,1.1902587136225051
2020-12-10,17955696,1.425952378477722
2020-12-11,18203634,1.3808320212148835
2020-12-12,18439005,1.292989081191151
2020-12-13,18711400,1.4772760243841792
2020-12-14,18948452,1.26688542813472
2020-12-15,19145937,1.0422223409067928
2020-12-16,19370570,1.173267205465055
2020-12-17,19596230,1.1649631373779914
2020-12-18,19863328,1.3630070681962807
2020-12-19,20136818,1.3768589029995377
