date,total_cases,g_values
2021-03-03,3950231,0.2379433493349411
2021-03-04,3963678,0.3404104721977018
2021-03-05,3975172,0.289983192378392
2021-03-06,3985734,0.26569919490276145
2021-03-07,3994453,0.21875519038651348
2021-03-08,4002733,0.2072874558794408
2021-03-09,4011254,0.21287955004743012
2021-03-10,4020215,0.22339647402034377
2021-03-11,4030996,0.26816973719067266
2021-03-12,4041305,0.2557432455899237
2021-03-13,4052764,0.28354702255830727
2021-03-14,4061351,0.21188008973628863
2021-03-15,4070148,0.21660280039819263
2021-03-16,4078854,0.2138988557664242
2021-03-17,4088799,0.2438184843095634
2021-03-18,4108660,0.48574165665761515
2021-03-19,4119719,0.26916318215671287
2021-03-20,4133487,0.33419755085237607
2021-03-21,4142604,0.2205643806306878
2021-03-22,4151516,0.21513038658775976
2021-03-23,4160033,0.20515397266926105
2021-03-24,4170131,0.24273845904587776
2021-03-25,4187017,0.4049273272230537
2021-03-26,4198510,0.2744913622275716
2021-03-27,4211489,0.30913347830539883
2021-03-28,4220706,0.21885371183446045
2021-03-29,4230379,0.22917966804605677
2021-03-30,4240029,0.22811194930761522
2021-03-31,4250960,0.2578048404857608
2021-04-01,4267309,0.3845954796093118
2021-04-02,4279125,0.27689581420047155
2021-04-03,4292696,0.3171442759910028
2021-04-04,4301494,0.20495278491651867
2021-04-05,4311113,0.22361997947689802
2021-04-06,4320804,0.22479113862243927
2021-04-07,4330819,0.23178556583450674
2021-04-08,4347277,0.38002049958679873
2021-04-09,4360055,0.2939311205612157
2021-04-10,4372686,0.28969818041286177
2021-04-11,4382694,0.2288753411518687
2021-04-12,4392288,0.21890645342796006
2021-04-13,4403556,0.2565405547177234
2021-04-14,4413482,0.22540873784732154
2021-04-15,4430778,0.3918901221303271
2021-04-16,4443114,0.27841611563477114
2021-04-17,4455770,0.28484526843110486
2021-04-18,4466813,0.24783595203522624
2021-04-19,4476088,0.20764245111671342
2021-04-20,4486081,0.22325298340872654
2021-04-21,4497126,0.24620598691820322
2021-04-22,4513948,0.37406112259251795
2021-04-23,4524966,0.24408788049840183
2021-04-24,4538930,0.3085990038378189
2021-04-25,4549240,0.2271460454336154
2021-04-26,4557947,0.1913946065716471
2021-04-27,4566401,0.18547824272638536
2021-04-28,4575404,0.19715745507238636
2021-04-29,4589434,0.3066395885478091
2021-04-30,4598539,0.19839047690848152
2021-05-01,4609542,0.23927164692960093
2021-05-02,4617579,0.17435571690202628
2021-05-03,4624028,0.13966193106820696
2021-05-04,4630324,0.13615834506192437
2021-05-05,4638488,0.17631595542774114
2021-05-06,4647886,0.2026091260772907
2021-05-07,4657762,0.21248369688929547
2021-05-08,4668507,0.23069018983795223
2021-05-09,4676802,0.17767993065020574
2021-05-10,4684325,0.16085778273273063
2021-05-11,4690848,0.13925165311971308
2021-05-12,4699549,0.18548884977726843
2021-05-13,4710286,0.22846873178681615
2021-05-14,4718951,0.18395910566789364
2021-05-15,4727582,0.18290081842341657
2021-05-16,4734677,0.15007671998074282
2021-05-17,4741751,0.1494082912097277
2021-05-18,4749088,0.15473187014670317
2021-05-19,4759065,0.21008244109184754
2021-05-20,4770428,0.23876538773897815
2021-05-21,4780827,0.21798882615983303
2021-05-22,4790656,0.20559204505831313
2021-05-23,4800901,0.21385380206802576
2021-05-24,4809316,0.17527959855868722
2021-05-25,4817570,0.17162523735183965
2021-05-26,4826199,0.1791151970806859
2021-05-27,4839089,0.2670838894127656
2021-05-28,4850448,0.23473426506518064
2021-05-29,4863128,0.261419151385604
2021-05-30,4875620,0.25687170890834043
2021-05-31,4885159,0.19564691259778244
2021-06-01,4894913,0.1996659678835428
2021-06-02,4907227,0.2515672903685929
2021-06-03,4922648,0.31425079785385923
2021-06-04,4935051,0.25195788933110796
2021-06-05,4950259,0.30816297541808585
2021-06-06,4965578,0.3094585556028483
2021-06-07,4977323,0.23652835581275733
2021-06-08,4988256,0.21965622886037334
2021-06-09,5002236,0.28025827062604647
2021-06-10,5022079,0.3966826035396971
2021-06-11,5043144,0.4194478023941878
2021-06-12,5064815,0.4297121002295393
2021-06-13,5084250,0.38372576293507266
2021-06-14,5101241,0.3341889167527167
2021-06-15,5117440,0.3175501804364859
2021-06-16,5139518,0.4314266508254127
2021-06-17,5165312,0.5018758568410501
2021-06-18,5191163,0.5004731563165981
2021-06-19,5217602,0.5093078371840761
2021-06-20,5241989,0.46739862488553174
2021-06-21,5264757,0.43433895034880843
2021-06-22,5285404,0.39217384582042436
2021-06-23,5311654,0.4966507763644937
2021-06-24,5346333,0.6528851465099195
2021-06-25,5379669,0.6235301841467787
2021-06-26,5413105,0.6215252276673527
2021-06-27,5446201,0.6114050992914417
2021-06-28,5474599,0.5214276887687399
2021-06-29,5499405,0.45311081231703004
2021-06-30,5529050,0.5390583163087643
2021-07-01,5567189,0.6897930024145197
2021-07-02,5607976,0.7326318542445748
2021-07-03,5653384,0.8097038931693004
2021-07-04,5696823,0.7683716513861433
2021-07-05,5728020,0.5476210161347825
2021-07-06,5756598,0.49891585574072717
2021-07-07,5790824,0.5945525464866576
2021-07-08,5838312,0.820056005846491
2021-07-09,5884802,0.7962918048915508
2021-07-10,5936606,0.880301495275457
2021-07-11,5980976,0.7473967448740914
2021-07-12,6016134,0.5878304811789915
2021-07-13,6051407,0.5863067544705619
2021-07-14,6091337,0.6598465447787597
2021-07-15,6136146,0.7356184693114172
2021-07-16,6178884,0.6964958134959631
2021-07-17,6225981,0.762225023159522
2021-07-18,6265147,0.6290735548341699
2021-07-19,6300374,0.5622693290356955
2021-07-20,6330632,0.48025720377869635
2021-07-21,6364929,0.5417626549766279
2021-07-22,6399982,0.5507209899749078
2021-07-23,6433199,0.5190170847355507
2021-07-24,6475232,0.6533763373401009
2021-07-25,6511749,0.5639489056145015
2021-07-26,6543205,0.48306530242489387
2021-07-27,6570993,0.42468484481229
2021-07-28,6607884,0.5614219951231115
2021-07-29,6655420,0.7193830884440465
2021-07-30,6698392,0.6456692440146526
2021-07-31,6749664,0.7654374363280023
2021-08-01,6786008,0.5384564327942842
2021-08-02,6818365,0.4768193612503846
2021-08-03,6853047,0.5086556674510678
2021-08-04,6888116,0.5117285785432378
2021-08-05,6931016,0.622811810950919
2021-08-06,6995449,0.9296328272795793
2021-08-07,7046592,0.7310895983946134
2021-08-08,7083270,0.520506934415956
2021-08-09,7115857,0.4600558781466752
2021-08-10,7139109,0.32676317132286387
2021-08-11,7181228,0.5899755837878369
2021-08-12,7214434,0.46240002406273695
2021-08-13,7257153,0.5921323834967511
2021-08-14,7301966,0.6175011054610534
2021-08-15,7336781,0.4767894016488162
2021-08-16,7366603,0.40647253884230694
2021-08-17,7395883,0.39746949849204577
2021-08-18,7431799,0.48562152754444604
2021-08-19,7493709,0.8330419054659578
2021-08-20,7531871,0.5092538287782458
2021-08-21,7573143,0.5479647752862469
2021-08-22,7605069,0.42156869347376646
2021-08-23,7630761,0.33782730965360075
2021-08-24,7656920,0.3428098455711036
2021-08-25,7691005,0.4451528813152025
2021-08-26,7728002,0.48104246454137006
2021-08-27,7761846,0.43793984525366325
2021-08-28,7799880,0.4900122986207147
2021-08-29,7827208,0.3503643645799679
2021-08-30,7848927,0.2774808079713737
2021-08-31,7872421,0.29932753865592077
2021-09-01,7896847,0.3102730405297176
2021-09-02,7926936,0.381025490300116
2021-09-03,7953777,0.3386049792757252
2021-09-04,7981969,0.35444795598367923
2021-09-05,8003443,0.26903136306342457
2021-09-06,8023259,0.24759344197241112
2021-09-07,8038602,0.1912315182645855
2021-09-08,8059509,0.2600825367395973
2021-09-09,8082040,0.27955797307255315
2021-09-10,8102702,0.2556532756581259
2021-09-11,8123490,0.2565563931636632
2021-09-12,8138817,0.18867506453507052
2021-09-13,8153396,0.17912922725747488
2021-09-14,8181812,0.34851735399580736
2021-09-15,8197925,0.1969368154633717
2021-09-16,8218595,0.2521369736854143
2021-09-17,8235186,0.2018714877664613
2021-09-18,8252058,0.20487697545629205
2021-09-19,8263903,0.1435399508825556
2021-09-20,8275842,0.14447168607859992
2021-09-21,8289042,0.15950038678843795
2021-09-22,8301491,0.15018623382533228
2021-09-23,8319917,0.22196012740361942
2021-09-24,8332797,0.1548092366786832
2021-09-25,8346429,0.16359452894388282
2021-09-26,8355900,0.11347367838389329
2021-09-27,8364067,0.0977393219162508
2021-09-28,8373275,0.11008998373638088
2021-09-29,8382680,0.11232164236812955
2021-09-30,8397106,0.17209293447918803
2021-10-01,8407304,0.12144660315113326
2021-10-02,8418225,0.12989895452811032
2021-10-03,8425012,0.08062269658983931
2021-10-04,8432367,0.08729957892048107
2021-10-05,8438852,0.07690604547928238
2021-10-06,8446569,0.09144608769060057
2021-10-07,8458144,0.13703789076961306
2021-10-08,8466165,0.09483167938498092
2021-10-09,8473769,0.08981634541731705
2021-10-10,8478621,0.05725905438300242
2021-10-11,8484547,0.0698934413980764
2021-10-12,8490220,0.06686273291903504
2021-10-13,8496743,0.07682957567648424
2021-10-14,8505484,0.10287471328719723
2021-10-15,8512558,0.08316987016847013
2021-10-16,8520210,0.0898907237988863
2021-10-17,8524683,0.05249870601780941
2021-10-18,8529589,0.05755052709877892
2021-10-19,8534814,0.06125734780421425
2021-10-20,8540072,0.06160649781002843
2021-10-21,8547301,0.08464799828385522
2021-10-22,8553766,0.0756379118975686
2021-10-23,8559837,0.07097458593092212
2021-10-24,8564050,0.04921822693586338
2021-10-25,8568869,0.05627010584945207
2021-10-26,8574583,0.06668324606199488
2021-10-27,8580023,0.06344331846808177
2021-10-28,8587202,0.08367110437815842
2021-10-29,8592551,0.06229037118260407
2021-10-30,8598032,0.06378780876598812
2021-10-31,8601880,0.044754427524810333
2021-11-01,8606293,0.05130273847112492
2021-11-02,8615860,0.11116284328223545
2021-11-03,8619175,0.03847555554523866
2021-11-04,8625957,0.07868502495888528
2021-11-05,8631812,0.06787652662771215
2021-11-06,8637295,0.0635208459127701
2021-11-07,8641249,0.045778221075000916
2021-11-08,8645991,0.05487632632736309
2021-11-09,8651320,0.06163550251208913
2021-11-10,8659266,0.09184725567890219
2021-11-11,8664641,0.06207223568371731
2021-11-12,8669975,0.0615605424390924
2021-11-13,8675234,0.060657614352982565
2021-11-14,8679211,0.045843143827590124
2021-11-15,8683227,0.04627148712020021
