date,g_values
2022-11-02,0.041485051
2022-11-03,0.035865691
2022-11-04,0.076885873
2022-11-05,0.040835866
2022-11-06,0.115624621
2022-11-07,0.030780379
2022-11-08,0.039453298
2022-11-09,0.030244845
2022-11-10,0.043006978
2022-11-11,0.086011408
2022-11-12,0.05453146
2022-11-13,0.110806699
2022-11-14,0.035908036
2022-11-15,0.04427839
2022-11-16,0.048966182
2022-11-17,0.043357121
2022-11-18,0.073290751
2022-11-19,0.060692278
2022-11-20,0.11719713
2022-11-21,0.039490839
2022-11-22,0.043836693
2022-11-23,0.055802576
2022-11-24,0.040485565
2022-11-25,0.079489467
2022-11-26,0.071322358
2022-11-27,0.137868996
2022-11-28,0.041387777
2022-11-29,0.047935919
2022-11-30,0.056142124
2022-12-01,0.054297752
2022-12-02,0.100120656
2022-12-03,0.052434427
2022-12-04,0.15434703
2022-12-05,0.047125338
2022-12-06,0.047918768
2022-12-07,0.060431191
2022-12-08,0.065889115
2022-12-09,0.129690742
2022-12-10,0.124125689
2022-12-11,0.242976159
2022-12-12,0.165934524
2022-12-13,0.190006499
2022-12-14,0.228290676
2022-12-15,0.240917484
2022-12-16,0.409841565
2022-12-17,0.412743851
2022-12-18,0.651015867
2022-12-19,0.660945142
2022-12-20,0.81896764
2022-12-21,0.945498311
2022-12-22,1.011499065
2022-12-23,1.149125811
2022-12-24,0.973296991
2022-12-25,0.955160887
2022-12-26,0.70148449
2022-12-27,0.685885582
2022-12-28,0.673603064
2022-12-29,0.518663911
2022-12-30,0.512959236
2022-12-31,0.383033708
